Invariant,EN,Character,"OptionA	","OptionB	","NextA	",NextB,InfluenceA,InfluenceB,GoldA,GoldB,MagicA,MagicB,OpinionA,OpinionB,PortraitName,NextInvariant
tut1,"It smelled like a normal day, with the scent of opportunity",Player’s Thoughts,,,,,,,,,,,,,,
tut1,"It felt like a normal summer day, with clear blue skies painted...",Player’s Thoughts,,,,,,,,,,,,,,
tut1,But this day was most unlike all the rest.,Player’s Thoughts,,,,,,,,,,,,,,
tut1,"You, slave girl, what's your name?","Lisia, Servant Manager",,,,,,,,,,,,,,
tut1,,System,,,,,,,,,,,,,,
tut1,Today was the day I would become king!,Player’s Thoughts,,,,,,,,,,,,,,
tut1,"Good. Now, there's just the small matter of the entry fee.","Lisia, Servant Manager",,,,,,,,,,,,,,
tut1,Pay 5 gold or Refuse?,DecisionCard,"Pay 5 gold	","Refuse	",tut1a,tut1a,,,,,,,,,"Lisia, Servant Manager",
tut1a,"Right, you're officially a servant. Duties include cleaning, bowing, and not asking questions. The King wants to see you.","Lisia, Servant Manager",,,,,,,,,,,,,,
tut1a,He's inside. Don’t keep him waiting,Guard,,,,,,,,,,,,,,
tut1a,Your Majesty? May I enter?,You,,,,,,,,,,,,,,tut2
tut2,"Ah, the new servant! Perfect timing. See that thing stuck outside the window? Get it for me.",King,,,,,,,,,,,,,,
tut2,Climb or Improvise?,DecisionCard,Climb out the window,Improvise,tut2a,tut2a,,,,,,,,,King,
tut2a,"Ah, good effort. Now, just hand it",King,,,,,,,,,,,,,,
tut2a,AAAAAAAHHHHHHHHHHHH,King,,,,,,,,,,,,,,
tut2a,You stare out the window. The river carries the King away. No body. No witnesses.,You,,,,,,,,,,,,,,
tut2a,Except you.,You,,,,,,,,,,,,,,
tut2a,Oh. Oh no.,You,,,,,,,,,,,,,,tut3
tut3, What do I do? What do I do? What do I do?,You,,,,,,,,,,,,,,
tut3,Deep breath. Walk to the door. Open it. Casually inform the guards that His Majesty has—,You,,,,,,,,,,,,,,
tut3,"No. Bad idea. ""Hi, the King fell out a window"" is not a great opening line.",You,,,,,,,,,,,,,,
tut3,Maybe I could… flee the castle? Reinvent myself as a wandering poet? Do people tip poets?,Player’s Thoughts,,,,,,,,,,,,,,
tut3, I could tie all the curtains together and rappel down the castle wall. Dignified. Graceful. Probably ends with me in the moat.,Player’s Thoughts,,,,,,,,,,,,,,
tut3,"""Ahem.""",Vizier,,,,,,,,,,,,,,
tut3, …Who. Was. That?,You,,,,,,,,,,,,,,tut4
tut4,"Well, well. A fascinating situation. A missing King. A nervous servant. A witness.",Vizier,,,,,,,,,,,,,,
tut4,A witness?,You,,,,,,,,,,,,,,
tut4,"He steps out from behind the curtain, smoothing his robes. ""Yes. Me. Lucky you!",Vizier,,,,,,,,,,,,,,
tut4,…Is it?,You,,,,,,,,,,,,,,
tut4,"Absolutely! You see, I could alert the guards. They might believe I had nothing to do with this. Or…",Vizier,,,,,,,,,,,,,,
tut4,Or?,You,,,,,,,,,,,,,,
tut4,Or you do one little favor for me instead. A minor thing. Barely worth mentioning.,Vizier,,,,,,,,,,,,,,tut5
tut5,You can pretend to be the King.,Vizier,,,,,,,,,,,,,,
tut5,How do you respond?,DecisionCard,That’s illegal!,That sounds like a terrible idea.,tut5a,tut5a,,,,,,,,,Vizier,
tut5a,"Nonsense! Your blood matches, so with a little magic—"" He pulls out a suspiciously glowing wand. ""—you’ll be him.",Vizier,,,,,,,,,,,,,,
tut5a,I don’t know how to be king. Why don’t you do it?,You,,,,,,,,,,,,,,
tut5a,"I have the wrong blood. But don’t worry—I’ll guide you. It'll be like a puppet show, one where the puppet has taxes to collect",Vizier,,,,,,,,,,,,,,
tut5a,What do you get out of this?,You,,,,,,,,,,,,,,
tut5a,I think it'll be... fun!,Vizier,,,,,,,,,,,,,,tut6
tut6,"First order of business—covering up your, uh… previous self’s unfortunate defenestration.",Vizier,,,,,,,,,,,,,,
tut6,"Yes. That. Very tragic. How do we, uh… do that?",You,,,,,,,,,,,,,,
tut6,Simple. We need a story. Something believable. Something the people will accept without question.,Vizier,,,,,,,,,,,,,,
tut6,Oh! Like ‘She ran away to follow her dream of becoming a wandering poet’?,You,,,,,,,,,,,,,,
